idJogo,data,golosMarcadosVisitante,golosMarcadosVisitada,resultado,nomeEquipaVisitada,nomeEquipaVisitante,arbitro,numeroJornada,fasePlayOff
145,02/04,4,3,AD Fundão/Hotel Alambique,Quinta dos Lombos,AD Fundão/Hotel Alambique,220,21,NULL
146,02/04,4,4,empate,Nun´Álvares,SC Braga/AAUM,211,21,NULL
147,03/04,3,7,Torreense,Torreense,FC Azeméis by Noxae,213,21,NULL
148,16/04,2,3,SC Braga/AAUM,SC Braga/AAUM,Modicus Cartest,221,22,NULL
149,16/04,3,3,empate,Leões Porto Salvo,AD Fundão/Hotel Alambique,209,22,NULL
150,16/04,1,3,FC Azeméis by Noxae,FC Azeméis by Noxae,CR Candoso/Natcal,209,22,NULL
151,16/04,4,1,Portimonense,Eléctrico,Portimonense,223,22,NULL
152,16/04,4,4,empate,Viseu 2001/Palácio do Gelo,Nun´Álvares,213,22,NULL
153,16/04,2,1,Quinta dos Lombos,Torreense,Quinta dos Lombos,218,22,NULL
154,19/04,2,3,Benfica,Benfica,Sporting,213,22,NULL
155,23/04,3,2,Benfica,Nun´Álvares,Benfica,224,23,NULL
156,23/04,0,5,Sporting,Sporting,FC Azeméis by Noxae,217,23,NULL
157,23/04,1,1,empate,CR Candoso/Natcal,Torreense,216,23,NULL
158,23/04,4,4,empate,Portimonense,SC Braga/AAUM,215,23,NULL
159,23/04,2,2,empate,AD Fundão/Hotel Alambique,Eléctrico,217,23,NULL
160,23/04,2,2,empate,Modicus Cartest,Viseu 2001/Palácio do Gelo,220,23,NULL
161,25/04,2,2,empate,Quinta dos Lombos,Leões Porto Salvo,211,23,NULL
162,30/03,2,6,Benfica,Benfica,Modicus Cartest,221,24,NULL
163,30/03,3,1,Sporting,Torreense,Sporting,217,24,NULL
164,30/04,2,2,empate,CR Candoso/Natcal,Quinta dos Lombos,223,24,NULL
165,30/04,4,4,empate,SC Braga/AAUM,AD Fundão/Hotel Alambique,218,24,NULL
166,30/04,4,0,Leões Porto Salvo,Eléctrico,Leões Porto Salvo,212,24,NULL
167,30/04,0,2,FC Azeméis by Noxae,FC Azeméis by Noxae,Nun´Álvares,219,24,NULL
168,01/05,3,4,Viseu 2001/Palácio do Gelo,Viseu 2001/Palácio do Gelo,Portimonense,219,24,NULL
169,07/05,2,3,Nun´Álvares,Nun´Álvares,Torreense,215,25,NULL
170,07/05,0,5,Sporting,Sporting,CR Candoso/Natcal,221,25,NULL
171,07/05,4,6,Modicus Cartest,Modicus Cartest,FC Azeméis by Noxae,218,25,NULL
172,07/05,1,3,AD Fundão/Hotel Alambique,AD Fundão/Hotel Alambique,Viseu 2001/Palácio do Gelo,223,25,NULL
173,07/05,2,3,Eléctrico,Eléctrico,Quinta dos Lombos,210,25,NULL
174,07/05,8,1,Benfica,Portimonense,Benfica,212,25,NULL
175,07/05,2,4,Leões Porto Salvo,Leões Porto Salvo,SC Braga/AAUM,220,25,NULL
176,13/05,5,6,Quinta dos Lombos,Quinta dos Lombos,Sporting,213,25,NULL
177,14/05,1,1,empate,CR Candoso/Natcal,Nun´Álvares,216,25,NULL
178,14/05,3,2,Portimonense,FC Azeméis by Noxae,Portimonense,210,25,NULL
179,14/05,4,6,Benfica,Benfica,AD Fundão/Hotel Alambique,222,25,NULL
180,14/05,4,2,Eléctrico,SC Braga/AAUM,Eléctrico,211,25,NULL
181,14/05,5,4,Leões Porto Salvo,Viseu 2001/Palácio do Gelo,Leões Porto Salvo,218,25,NULL
182,15/05,2,3,Torreense,Torreense,Modicus Cartest,220,25,NULL
183,27/05,3,0,Sporting,FC Azeméis by Noxae,Sporting,215,NULL,QUARTOS-DE-FINAL
184,04/06,0,1,Sporting,Sporting,FC Azeméis by Noxae,216,NULL,QUARTOS-DE-FINAL
185,26/05,3,1,Leões Porto Salvo,Leões Porto Salvo,Benfica,217,NULL,QUARTOS-DE-FINAL
186,03/06,0,3,Benfica,Benfica,Leões Porto Salvo,218,NULL,QUARTOS-DE-FINAL
187,25/05,1,2,SC Braga/AAUM,SC Braga/AAUM,Eléctrico,219,NULL,QUARTOS-DE-FINAL
188,03/06,1,4,Eléctrico,Eléctrico,SC Braga/AAUM,220,NULL,QUARTOS-DE-FINAL
189,05/06,4,5,Eléctrico,Eléctrico,SC Braga/AAUM,221,NULL,QUARTOS-DE-FINAL
190,27/05,1,3,Quinta dos Lombos,Quinta dos Lombos,AD Fundão/Hotel Alambique,221,NULL,QUARTOS-DE-FINAL
191,04/06,2,4,AD Fundão/Hotel Alambique,AD Fundão/Hotel Alambique,Quinta dos Lombos,223,NULL,QUARTOS-DE-FINAL
192,06/06,1,2,AD Fundão/Hotel Alambique,AD Fundão/Hotel Alambique,Quinta dos Lombos,224,NULL,QUARTOS-DE-FINAL
193,10/06,6,4,AD Fundão/Hotel Alambique,AD Fundão/Hotel Alambique,Sporting,209,NULL,MEIAS-FINAIS
194,12/06,2,5,Sporting,Sporting,AD Fundão/Hotel Alambique,210,NULL,MEIAS-FINAIS
195,10/06,2,1,Eléctrico,Eléctrico,Benfica,211,NULL,MEIAS-FINAIS
196,12/06,1,2,Benfica,Benfica,Eléctrico,212,NULL,MEIAS-FINAIS
197,18/06,5,4,Sporting,Sporting,Benfica,213,NULL,FINAL
198,22/06,3,4,Benfica,Benfica,Sporting,214,NULL,FINAL
199,25/06,4,3,FC Azeméis by Noxae,Sporting,Benfica,215,NULL,FINAL
